weight_decay,step,frozen_frac,loss
0.01,127,0.5146290491118077,16.375
0.01,128,0.5141065830721003,16.125
0.01,129,0.5104493207941484,16.0
0.01,130,0.5073145245559039,16.125
0.01,131,0.5083594566353187,16.0
0.01,132,0.5067920585161965,16.375
0.01,133,0.5026123301985371,16.375
0.01,134,0.5005224660397074,15.3125
0.01,135,0.4994775339602926,16.5
0.01,136,0.49738766980146293,16.375
0.01,137,0.49738766980146293,15.25
0.01,138,0.4952978056426332,15.5625
0.01,139,0.4942528735632184,15.1875
0.01,140,0.49268547544409613,15.0
0.01,141,0.49111807732497387,15.6875
0.01,142,0.4895506792058516,15.75
0.01,143,0.48746081504702193,15.0
0.01,144,0.4864158829676071,15.5
0.01,145,0.48537095088819227,14.125
0.01,146,0.48171368861024033,16.125
0.01,147,0.4780564263322884,15.125
0.01,148,0.47596656217345873,15.3125
0.01,149,0.47439916405433646,15.0
0.01,150,0.47335423197492166,14.8125
0.01,151,0.4696969696969697,15.375
0.01,152,0.46865203761755486,15.375
0.01,153,0.46760710553814,15.1875
0.01,154,0.46499477533960293,15.125
0.01,155,0.46342737722048066,15.0
0.01,156,0.4608150470219436,14.9375
0.01,157,0.45977011494252873,14.8125
0.01,158,0.45820271682340646,14.4375
0.01,159,0.4555903866248694,14.625
0.01,160,0.45454545454545453,14.875
0.01,161,0.4555903866248694,14.5625
0.01,162,0.4540229885057471,14.1875
0.01,163,0.4540229885057471,15.0
0.01,164,0.45245559038662486,14.5625
0.01,165,0.4498432601880878,14.8125
0.01,166,0.44723092998955066,14.625
